COD_PRODUTO;PRODUTO;CLASSIFICACAO
008191;TELEFONE SEM FIO ISF 900 MHz;ELETRO ELETROPORTATEIS TELEFONE
009018;COLCHAO BORDADO D 33  78 X 15;MOVEIS COLCHAO COLCHAO
007900;TOCA CD P  CARRO DIGITAL PSCD 480 REISTAR;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
012141;ESTANTE AQUARIUM REF.6003 IMB PT;MOVEIS SALA DE ESTAR ESTANTE
019296;KIT COZINHA ORQUIDEA II 4026 BR GRIGIO;MOVEIS COZINHA COZINHA COMPACTA
009685;CAMA SOLTEIRO ESSENCIAL;MOVEIS QUARTO CAMA
018105;ESTANTE HOME DAKAR PLUS FRASC PRISM PT;MOVEIS SALA DE ESTAR ESTANTE
022488;CAB.BOX C/CRIADO LARINE 1
010704;SONY ERICSSON S500 TIM;CELULAR SMARTPHONE
016219;SAMSUNG E2220 DB;CELULAR SMARTPHONE
012044;CELULAR MULTILASER TOUCH TRI CHIP DB PRATA;CELULAR CELULAR CELULAR
019832;TV 40 LED PH40U16 DSG SMART;TECNOLOGIA TV E VIDEO SMART TV
021007;PAINEL LINK NOGUEIRA AREIA;MOVEIS SALA DE ESTAR PAINEL PARA TV
023928;AEREO 120CM 3P CG196 TKA-VERMONT;MOVEIS COZINHA ARMARIO
A01958;ENGRENAG VELOC TIT 150/POP FERRO;ALMOXARIFADO
014481;AUTO RADIO DEH 4380;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
S0007D;SERVICO DE PROTECAO TOTAL 45;SERVICOS SEGURO CELULAR
009812;MP4 PLAYER C RADIO FM
016788;TV LED PH 42M A4 PHILCO;TECNOLOGIA TV E VIDEO TV
011233;MOTORLA V8 CLARO;CELULAR SMARTPHONE
013894;ARM.TRIPLO MEDIO 3 PTS.VIDRO 81189 PR NOVITA;MOVEIS COZINHA COZINHA COMPACTA
005464;CAFETEIRA GAIA RI 6820;ELETRO ELETROPORTATEIS CAFETEIRA
023762;ROUPEIRO 6 PTS.HELENA C.ESP CAFE;MOVEIS QUARTO GUARDA-ROUPA
013230;ARM ACO ITANOVA SMART IP 31V D TB;MOVEIS COZINHA COZINHA COMPACTA
G0003S;GE2 COND. AR ACIMA 20.000 BTU;SERVICOS GARANTIA
015535;MESA DE CANTO MERIDA CARV BI PT;MOVEIS SALA DE ESTAR MESA CANTO
007122;CRIADO MUDO ROBUSTO;MOVEIS QUARTO CRIADO MUDO
021847;SMARTPHONE LG K4 K130F DB INDIGO;CELULAR SMARTPHONE SMARTPHONE
010898;LG KP151 CLARO;CELULAR SMARTPHONE
A01814;CALCA MASC COM ELASTICO 201 G;ALMOXARIFADO
019104;RECEPTOR CENTURY PR 2022 SLIM;TECNOLOGIA AUDIO SOM PORTATIL
018103;RACK ONDA FRASC PRISM PT;MOVEIS SALA DE ESTAR RACK
