COD_PRODUTO;PRODUTO;CLASSIFICACAO
014479;LAVADORA ALELUIA 4.0 SUGGAR;ELETRO ELETRODOMESTICO LAVADORA
008600;CD PLAYER PORTATIL AX 2400   78;TECNOLOGIA AUDIO SOM PORTATIL
000366;COLCHAO ORTOBOM PREMIER  78 X;MOVEIS COLCHAO COLCHAO
017771;DORA BALC 1
020436;MESA DE CENTRO VIDRO PRETO 1
019720;RACK COM PAINEL TV DUAL NOG TX GRIGIO TX;MOVEIS SALA DE ESTAR RACK
021876;SMARTPHONE SAMSUNG GAL J2 CLARO PRETO;CELULAR SMARTPHONE SMARTPHONE
010350;KIT DUETO AMIGO DB;CELULAR SMARTPHONE
013684;FOGAO 5BC. SANTORINI GRILL INOX 5011;ELETRO ELETRODOMESTICO FOGAO
018959;RACK TUCURUI CINZA PRETO;MOVEIS SALA DE ESTAR RACK
013112;BALCAO BT2P 4G BR  TP BR  ARM ECLIPSE PLUS CL;MOVEIS COZINHA COZINHA COMPACTA
010696;SAMSUNG F250 LARANJA;CELULAR SMARTPHONE
A02000;GEOMETRIA BALANCEAMENTO;ALMOXARIFADO
014388;ROUPEIRO 6 PTS.SPLENDORE IMB PT;MOVEIS QUARTO GUARDA-ROUPA
010341;NOKIA 3555 DB;CELULAR SMARTPHONE
021776;CONSOLE XBOX ONE 500GB CONTR.S FIO GEAR 0088;TECNOLOGIA GAME CONSOLE
021435;KIT ELLEN 7P 2G BR PT 6281.5;MOVEIS COZINHA KIT
017553;FRUTEIRA 2 CESTOS GIRATORIOS AMERICA 83027 VD;MOVEIS COZINHA FRUTEIRA
017395;RACK VIGO 7071 CAR PT;MOVEIS SALA DE ESTAR RACK
A00833;FUSIVEL LAMINA 5 AMP;ALMOXARIFADO
A00917;REVESTIMENTO DA COLUNA MB-710;ALMOXARIFADO
023307;SMARTPHONE SAMSUNG GAL J1 MINI 4G DB PRETO;CELULAR SMARTPHONE SMARTPHONE
017024;PELICULA ANTI DIG SAMSUNG Y DUOS S6102;CELULAR ACESSORIO
015045;TOUCADOR LARA MG;MOVEIS QUARTO TOUCADOR
013835;ARM SUPREMA IG3G2 120 SAA;MOVEIS COZINHA COZINHA COMPACTA
023825;SMARTPHONE MOTOROLA MOTO C PLUS XT1726 PRETO;CELULAR SMARTPHONE SMARTPHONE
017735;RACK ARGENTUM C ROD 210 09 PEROLA PT;MOVEIS SALA DE ESTAR RACK
014144;ROUPEIRO 6 PTS. MIRYAD GLASS TB BR;MOVEIS QUARTO GUARDA-ROUPA
003827;ENCERADEIRA ESN SUPER NOVA;ELETRO UTILIDADES DOMESTICAS
008644;UNID.INTERNA EVAPORADORA SPLIT 12000 BTU FRIO;ELETRO AR E VENTILACAO AR CONDICIONADO
019607;SECADOR ESTUDIO 2000 MALLORY;ELETRO BELEZA E SAUDE SECADOR DE CABELO
015692;ZTE X990 VIVO;CELULAR SMARTPHONE
021107;BICICLETA R16 CALOI SPIDER MAN T10 V01 AZUL;LAZER ESPORTE E FITNESS BICICLETA
019930;CONJ.EST.VITORIA 117 SUEDE VERMELHO;MOVEIS SALA DE ESTAR SOFA
020345;ROUPEIRO ANJOS 3 PTS.PES MAL ROV;MOVEIS QUARTO GUARDA-ROUPA
020220;ARM JAZZ IPLDA FNO 70 BEGE;MOVEIS COZINHA PANELEIRO
021541;COMPOSICAO FEDERAL CAP DUNAS TEX;MOVEIS SALA DE ESTAR PAINEL PARA TV
007897;DVD PLAYER MDV 426;TECNOLOGIA TV E VIDEO DVD
012296;CRIADO MUDO NETO TB MP;MOVEIS QUARTO CRIADO MUDO
016424;BELICHE GUARA 8
A00377;SWITCH 48 PORTAS 10 100;ALMOXARIFADO
016448;CARTAO MC UNID DIG 8GB C ADPT MC004;TECNOLOGIA INFORMATICA IMPRESSORA
A00721;CARTOLINA 120G;ALMOXARIFADO
012928;ROUPEIRO 6 PTS.ESSENCIAL BR PT;MOVEIS QUARTO GUARDA-ROUPA
012862;TELEFONE TELEFI KXT 3026Y BR;ELETRO ELETROPORTATEIS TELEFONE
021512;LAVADORA LAVAMATIC SUGGAR 10KG PT LC1032PT;ELETRO ELETRODOMESTICO LAVADORA
009179;BICICLETA BOA VIAGEM CBB SUNDOWN;LAZER ESPORTE E FITNESS BICICLETA
005660;TELEVISOR EM CORES TV2987 HMS LET;TECNOLOGIA TV E VIDEO TV
018969;RACK PEGASUS CAPUCCINO WOOD EBANO;MOVEIS SALA DE ESTAR RACK
017622;G.ROUPA CAPELINHA IMPERIAL CASAL CARV PT;MOVEIS QUARTO GUARDA-ROUPA
018775;LG OPTIMUS L5 II E455 DUAL BRANCO;CELULAR SMARTPHONE SMARTPHONE
S0000W;SERVICO DE PROTECAO SEM DESCULPAS32;SERVICOS SEGURO CELULAR
007561;AUTO RADIO C TOCA DISCOS A LASER DEH 4680 MP;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
017595;BOOM BOX BX 11 CONECT STAR;TECNOLOGIA AUDIO SOM PORTATIL
011913;VENTILADOR TURBO WIND 40 CM PAREDE PT;ELETRO AR E VENTILACAO VENTILADOR
014352;SAPATEIRA C PORTA C PES LINE BR RS;MOVEIS QUARTO SAPATEIRA
020372;VENTILADOR 40 CM COLUNA MEGA TURBO SIX 2;ELETRO AR E VENTILACAO VENTILADOR
S0001R;SERVICO DE PROTECAO SEM DESCULPAS63;SERVICOS SEGURO CELULAR
017900;TV LED LE 2456;TECNOLOGIA TV E VIDEO TV
024637;ESTOFADO TRIUNFO 2 E 3 LUGARES SUEDE VERMELHO;MOVEIS SALA DE ESTAR SOFA
010833;REFRIGERADOR RDV 37 BR;ELETRO ELETRODOMESTICO LAVADORA
A00482;CAMISETA DOMINGO   G;ALMOXARIFADO
011244;FONE DE OUVIDO BLUETOOTH H375 MOTOROLA;CELULAR ACESSORIO ACESSORIO
019517;CONJ.INOVARE C 6 CAD.INOVARE BR TC38;MOVEIS SALA DE JANTAR CONJUNTO MESA
022561;PAINEL CAPITONE 1
013844;ROUPEIRO FIRENZE 3 PORTAS CORRER BR PT;MOVEIS QUARTO GUARDA-ROUPA
024672;LAVA E SECA INVERTER 10KG WD10M44530WFAZ BR;ELETRO ELETRODOMESTICO LAVADORA
009383;SAMSUNG E351 CLARO;CELULAR SMARTPHONE
020772;TV LED SEMP DL4077I;TECNOLOGIA TV E VIDEO SMART TV
009091;MOTOROLA W220 CLARO;CELULAR SMARTPHONE
008693;FOGAO 6 BC. CAPRI GR II BEGE GE BIV;ELETRO ELETRODOMESTICO FOGAO
010326;MINI SYSTEM FWM 375  BK;TECNOLOGIA AUDIO MINI SYSTEM
017989;TV LED 46" SONY KDL-46R475A;TECNOLOGIA TV E VIDEO TV
A01183;RETENTOR DE BORRACHA  A0229972947;ALMOXARIFADO
024845;SMARTPHONE SAMSUNG GALAXY J250M J2 PRO DB PT;CELULAR SMARTPHONE SMARTPHONE
018777;FORNO ELETRICO FT90B2 PRATA BLACK E DECKER;ELETRO ELETRODOMESTICO FORNO
A01079;CHAVE DE SETA - PLASTICO A0015404645;ALMOXARIFADO
012525;CADEIRA POLLY MOSTARDA;MOVEIS SALA DE ESTAR POLTRONA
022166;BANQUETA DUBLIN 770MM CROMADA COR 106 DE META;MOVEIS SALA DE JANTAR CADEIRA
020173;ARM VIVACE IPH 70 PT;MOVEIS COZINHA ARMARIO
024510;ARMARIO LUCE IG3G2-105 BRANCO;MOVEIS COZINHA BALCAO
011227;SONY ERICSSON R306 DB;CELULAR SMARTPHONE
019570;PAINEL ROMA CAP WOOD EBANO;MOVEIS SALA DE ESTAR PAINEL PARA TV
RHC00701;CAMISA 109 MAS   EQ LOJA   PP;ALMOXARIFADO
018934;MESA CORURIPE QUAD DUNNAS VINHO;MOVEIS TERRACO MESA
011925;COMODA SAPATEIRA 1PT.IMP V.RICA MF;MOVEIS QUARTO COMODA
021755;LG PRIME PLUS H502TV DOURADO DB;CELULAR SMARTPHONE SMARTPHONE
012835;CAMA CASAL LAMBARI MASTER TB BR;MOVEIS QUARTO CAMA
A02671;FILTRO COMBUST. 815;ALMOXARIFADO
009081;AUTO HBD 4100 A MP3 PLAYER;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
S0002U;SERVICO DE PROTECAO SEM DESCULPAS03;SERVICOS SEGURO CELULAR
021231;VIDEO GAME SONY PLAYSTATION3 500GB  3000507;TECNOLOGIA GAME CONSOLE
023073;MESA CENTRO JULIANA DEMOLICAO;MOVEIS SALA DE ESTAR MESA DE CENTRO
009087;RACK BARCELLONA 3124 7 TAB BR;MOVEIS SALA DE ESTAR RACK
008185;FARMER COM PA CACAMBA          335;LAZER BRINQUEDOS MINI VEICULO
019983;HOME XB-4351MP THEATER SEMP TCL;TECNOLOGIA TV E VIDEO HOME THEATER
RHC00210;CAMISA 102 MAS   ADM DEP COORD   EXG;ALMOXARIFADO
020239;FORNO MICROONDAS 30L MS3049LA LG;ELETRO ELETRODOMESTICO FORNO
016664;BLU TATOO MINI TV Q 190 ROSA. DB;CELULAR SMARTPHONE
015953;CAMERA SAMSUNG DIG.ES68 12.2MP PRETA;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
019261;SMARTPHONE LG L40 D175 DUAL TV PRETO;CELULAR SMARTPHONE SMARTPHONE
014185;ANDADOR POP 61108 VERDE;LAZER BEBES ANDADOR
015831;RACK EROS BR PT;MOVEIS SALA DE ESTAR RACK
A00546;RACK COM CHAVE;ALMOXARIFADO
013151;CAMA CASAL THIELI BOX TB BR;MOVEIS QUARTO CAMA
018547;G.ROUPA 3PTS.LINE 2011 NO AMD;MOVEIS QUARTO GUARDA-ROUPA
022930;UNIDADE CONDESADORA 38KCX12S5 12000BTUS;ELETRO AR E VENTILACAO AR CONDICIONADO
014885;SOFTWARE GERENCIADOR HENRY ORION 6;TECNOLOGIA INFORMATICA
A00063;MARCADOR PERMANENTE 1100   VERMELHO;ALMOXARIFADO
014887;CPU CELERON D.C E3400 2GB HD500 DVD RW LINUX;TECNOLOGIA INFORMATICA PC
009240;ESCRIVANINHA PREMIUN;MOVEIS ESCRITORIO ESCRIVANINHA
010652;SAMSUNG M140 PTO GSM;CELULAR SMARTPHONE
A01290;SILENCIOSO TRASEIRO;ALMOXARIFADO
007728;JUJU FLOR                      412;TECNOLOGIA TV E VIDEO RECEPTOR
017045;CJ.MESA JULIANA C 6C.BR CZ T.MARM 1
014799;NOKIA C3 CLARO DOURO;CELULAR SMARTPHONE
011804;CONJ.EST.3.2 SANTIAGO 4070 803 X 811 X 671;MOVEIS SALA DE ESTAR SOFA
024603;DEPURADOR SLIM 80CM DI82PT SUGGAR;ELETRO ELETRODOMESTICO DEPURADOR
015643;ASPIRADOR DE PO AP 2000 B2 BLACK E DECKER;ELETRO ELETROPORTATEIS ASPIRADOR
020469;RADIO HOME HT-F4505 ZD REP.DVD BLU RAY C/AMP;TECNOLOGIA TV E VIDEO HOME THEATER
016181;CAMERA SONY W610 PRATA;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
011010;RADIO PORTATIL COM CD E MP3 RC 70MPX CCE;TECNOLOGIA AUDIO SOM PORTATIL
015264;CAMA CASAL ISABELLE CARV PT;MOVEIS QUARTO CAMA
021377;CONJ.GRANDA 1
012903;ROUPEIRO 4 PTS.ALINE P.CURV. BR 2P.BR 2P.UVA;MOVEIS QUARTO GUARDA-ROUPA
RHC00406;CAMISA 104 MAS   COBRANC   XG;ALMOXARIFADO
018637;ROUPEIRO 6PTS.FLAVIA C ESP CIN TR P CI;MOVEIS QUARTO GUARDA-ROUPA
016870;MESA DARQUE 1
005986;LIQUIDIFICADOR FIRENZE RI 6755;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
023115;CADEIRA ITALIA PT/FOSCO C/ ENCOSTO ROSE METAL;MOVEIS COZINHA CADEIRA
016941;BIBOX ONIX ALICE TB BR;MOVEIS QUARTO CAMA
007008;TELEVISOR EM CORES TV 1488 JM LET;TECNOLOGIA TV E VIDEO TV
020676;AUDIO PB125;TECNOLOGIA AUDIO SOM PORTATIL
020434;SMARTPHONE SAMSUNG GAL S5 G900 DUOS DB BRANCO;CELULAR SMARTPHONE SMARTPHONE
013386;CAMA SOLTEIRO PRESENCE BR AZ;MOVEIS QUARTO CAMA
006911;BICICLETA ASPEN EXTRA 21V ARO 26;LAZER ESPORTE E FITNESS BICICLETA
022194;CONJ.VITORIA 1
012060;BATEDEIRA BATPLUS INOX BT9022X SUGGAR;ELETRO ELETROPORTATEIS BATEDEIRA
011296;FONE DE OUVIDO BH 101 BLUETOOTH NOKIA;TECNOLOGIA AUDIO FONE DE OUVIDO
008490;SAMSUNG X150 CLARO;CELULAR SMARTPHONE
018229;CAMA SOLTEIRO ADSV.INFANTIL FRUTINHA;MOVEIS QUARTO CAMA
013379;CAMA SOLTEIRO IZADORA MP BR;MOVEIS QUARTO CAMA
020848;CADEIRA TURQUIA CR 65 65 TRANCADO BRANCO;MOVEIS SALA DE JANTAR CADEIRA
013231;ARM ACO ITANOVA SMART IP 31V D LJ;MOVEIS COZINHA COZINHA COMPACTA
006706;REFRIGERADOR 1 P.300L R 31;ELETRO ELETRODOMESTICO REFRIGERADOR
015195;CAMA CASAL MILAO REF 664 TB BR;MOVEIS QUARTO CAMA
019746;SMARTPHONE LG G3 STYLUS D690 DUAL DB PRETO TI;CELULAR SMARTPHONE SMARTPHONE
020565;ROUPEIRO 6PTS. FENIX C  ESP CINZA PT;MOVEIS QUARTO GUARDA-ROUPA
023506;FOGAO 4Q INOX 52SXC;ELETRO ELETRODOMESTICO FOGAO
009913;LAVADORA IRIS 220V VERDE UNIKHA;ELETRO ELETRODOMESTICO LAVADORA
A01591;LAMPADA 69 24V 4W - GE ( 9231 );ALMOXARIFADO
016207;PAINEL UNIVERSAL CAPUCCINO PRETO;MOVEIS SALA DE ESTAR PAINEL PARA TV
011998;MESA PRAIA C 6 CAD.1
S0003G;SERVICO DE PROTECAO SEM DESCULPAS5B;SERVICOS SEGURO CELULAR
013560;FRUTEIRA CONDESA MDF BR VD;MOVEIS COZINHA ARMARIO
S00081;SERVICO DE PROTECAO TOTAL 69;SERVICOS SEGURO CELULAR
015359;CPU STI TF200 CI 52300 4GB 1TBW7H;TECNOLOGIA INFORMATICA PC
023008;FOGAO 4BC. CARIBE 4078 BR;ELETRO ELETRODOMESTICO FOGAO
012227;ARM.BALCAO DUPLO 1200 1PT.ESP.2G.TAM 72040 PT;MOVEIS COZINHA COZINHA COMPACTA
G0009A;GE1 CONVERSOR DIGITAL;SERVICOS GARANTIA
011902;VENTILADOR TURBO 50 CM COLUNA BR;ELETRO AR E VENTILACAO VENTILADOR
022026;ROUPEIRO 6P UNIQUE 4407 CARV SENSITIVE;MOVEIS QUARTO GUARDA-ROUPA
016126;HUAWEI G3511 CLARO;CELULAR SMARTPHONE
022811;FOGAO GAS 4BC.HAVANA BCO;ELETRO ELETRODOMESTICO FOGAO
014464;PARAFUSO PHILIPS M5  PCTEC 10;TECNOLOGIA INFORMATICA PC
008267;FOGAO 4BC. BAHAMAS 4811 BR BR;ELETRO ELETRODOMESTICO FOGAO
020258;MYSTIQUE 158 X 198 X 34;MOVEIS COLCHAO COLCHAO
RHC00G02;BATA 115 FEM   GESTANTE   P;ALMOXARIFADO
005967;REFRIGERADOR 1 P.CONSUL 320L CRA 32C;ELETRO ELETRODOMESTICO REFRIGERADOR
008890;CRIADO REF 002 06;MOVEIS QUARTO CRIADO MUDO
013671;DVD DVP 3560 KX 78;TECNOLOGIA TV E VIDEO DVD
018212;SAMSUNG GALAXY FAME S6812 DUOS GRAF;CELULAR SMARTPHONE SMARTPHONE
012939;ROUPEIRO 6 PTS.SINTONIA C ESP BR PT;MOVEIS QUARTO GUARDA-ROUPA
012579;CAMA SOLTEIRO BIBOX ESCOCIA MG;MOVEIS QUARTO CAMA
A01035;BUCHA DISTANCIADORA DE PLASTICO;ALMOXARIFADO
019754;COMBO BRUNO CAFE;MOVEIS
009898;TELEVISOR LCD 32 PFL 5332;TECNOLOGIA TV E VIDEO TV
020344;ROUPEIRO ANJOS 3 PTS.PES MAL MAL ROV;MOVEIS QUARTO GUARDA-ROUPA
007347;FOGAO 4BC. MARESIAS LUMINA 470 EA;ELETRO ELETRODOMESTICO FOGAO
024306;MAQUINA DE COSTURA JX-2051;ELETRO UTILIDADES DOMESTICAS MAQUINA DE COSTURA
012165;PANELEIRO SIMPLES BEATRIZ C VID 1615 BR;MOVEIS COZINHA COZINHA COMPACTA
017103;MESA JONSOM 1
019152;TABUA DE PASSAR UTILITA 198 CAPUCCINO;MOVEIS COZINHA TABUA DE PASSAR
A01576;ADAPTADOR CURTO P/ REGISTRO 32X1;ALMOXARIFADO
100004;VIDROS;ALMOXARIFADO
008594;RECEPTOR TVL 20 PF8946  78;TECNOLOGIA TV E VIDEO TV
023284;ROUPEIRO DANUBIO 4P 1060201.65 C PE EBANO/ANI;MOVEIS QUARTO GUARDA-ROUPA
016720;PECA ESPECIAL VARIAS PECAS 1 ETIQUETA 202 GRA;MOVEIS COZINHA COZINHA COMPACTA
024840;RACK FLASH NOGUEIRA/CONHAQUE 593;MOVEIS SALA DE ESTAR RACK
020107;ESTANTE LISA CZ PT;MOVEIS SALA DE ESTAR ESTANTE
013161;COMODA MILAO SAP.C ESP.TB MP;MOVEIS QUARTO COMODA
A00694;REL MINIPRINT 500;ALMOXARIFADO
019443;CAMA CASAL ITAGUARA IMB FOSCO;MOVEIS QUARTO CAMA
A02706;UNIAO INSTANTANEA EMENDA 6MM;ALMOXARIFADO
A02419;RETENTOR RODAS DIANT MB 709/10/914;ALMOXARIFADO
005838;FREEZER VERTICAL BRASTEMP 246L BVG 28P  prata;ELETRO ELETRODOMESTICO FREEZER
013839;ARM SUPREMA IPLA 35 SAA;MOVEIS COZINHA COZINHA COMPACTA
A00775;AMORTECEDOR DIANT/TRAS NAKATA 1113 - AC36014;ALMOXARIFADO
021884;RADIO AUTOMOTIVO AMVOX ACR5500;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
024451;ROUPEIRO HAVANA 2080 FENDY/AMENDOA C/6 PES;MOVEIS QUARTO GUARDA-ROUPA
019553;BICICLETA BMX RANGER ARO 16 FEMININA BR RS;LAZER ESPORTE E FITNESS BICICLETA
013003;CAMA SOLTEIRO ABSOLUT MG;MOVEIS QUARTO CAMA
008805;AUDIO BS 368;TECNOLOGIA AUDIO MICRO SYSTEM
023778;SMARTPHONE MOTOROLA MOTO C PLUS XT1726 DR;CELULAR SMARTPHONE SMARTPHONE
016521;GP RACING ROSA 146;LAZER BRINQUEDOS MINI VEICULO
019725;TABLET NB127 TV DUAL CORE 8GB;TECNOLOGIA INFORMATICA TABLET
007899;MINI SYSTEM FWM 570;TECNOLOGIA AUDIO MINI SYSTEM
016835;TABLET NB005 ANDROIDE DIAMOND WI FI ROSA;TECNOLOGIA INFORMATICA TABLET
A00231;ROTEADOR;ALMOXARIFADO
A00944;PINO KIT TERMINAL DIR (RECOND) MB 1318/1620;ALMOXARIFADO
020278;AP  HORIZONTAL 1P BRANCO SAL;MOVEIS COZINHA ARMARIO
015645;ASPIRADOR DE PO AP4000-B2 BLACK E DECKER;ELETRO ELETROPORTATEIS ASPIRADOR
014405;MIRAGE POP DOIS CHIPS;CELULAR SMARTPHONE
A02454;LAMPADA 12V TORPEDO 2140057;ALMOXARIFADO
999999;....................................;ALMOXARIFADO
015736;ANDADOR RAINBOW ROSA;LAZER BEBES ANDADOR
016487;ROUPEIRO 6 PTS.MIRYAD IPE IPE AMD;MOVEIS QUARTO GUARDA-ROUPA
A02466;COPO C/SENSOR  QKR27004CS0069;ALMOXARIFADO
015860;ROUPEIRO 2 PTS.CORRER CAROLINA ONIX BR PT;MOVEIS QUARTO GUARDA-ROUPA
014492;MONITOR 18
008182;LASER AZUL C CACAMBA 353;LAZER BRINQUEDOS MINI VEICULO
014510;LG GM600 TV PHONE DB;CELULAR SMARTPHONE
011531;CAMA CASAL MDF C ESP.BCO PRT.;MOVEIS QUARTO CAMA
014601;BELICHE VENUS REF 136 BR      NAO USAR;MOVEIS QUARTO CAMA
007653;BICICLETA 16 HOMEM ARANHA     2235   03 ANO;LAZER ESPORTE E FITNESS BICICLETA
016096;CONJ.ESTOF.SUICA 3 LUG.C CHAISE 686 685;MOVEIS SALA DE ESTAR SOFA
020057;SMARTPHONE LG L20 D107 TRIPLE DB PTO VERMELHO;CELULAR SMARTPHONE SMARTPHONE
A01640;TINTA SPRAY 300ML;ALMOXARIFADO
013325;CAMERA DIGITAL DSC W350 P ROSA;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
017896;TABLET NB032 PC M PRO 7 3G PRETO;TECNOLOGIA INFORMATICA TABLET
014742;ONDA N235 DB PRETO;CELULAR SMARTPHONE
A02266;PISTOLA  APLICADORA DE SILICONE TRAMONTIN;ALMOXARIFADO
020743;LIQUID.VITAMAXIS 3 L 30 3V 220V;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
019847;MESA RAINHA C JUNCO CR RT 1.20X0.75 VID BR;MOVEIS COZINHA MESA
014110;LG C310 DB CIL;CELULAR SMARTPHONE
019805;FOGAO 5BC.HERA BR 1200;ELETRO ELETRODOMESTICO FOGAO
008629;POLTRONA JATIUCA DUNNASPLAST;MOVEIS TERRACO POLTRONA
012364;CAMA SOLT BIBOX FRANCA BR AZ;MOVEIS QUARTO CAMA
G0006C;GE2 TELEFONE FIXO;SERVICOS GARANTIA
MC0003;TECIDO RAFIA;ALMOXARIFADO
014883;BATERIA ORION VI;TECNOLOGIA INFORMATICA
016200;APARADOR CARAJAS CAPUCCINO PRETO;MOVEIS SALA DE JANTAR APARADOR
020916;CONJ.080 6 C.ATALAIA S ENC.BR BR MAD PR;MOVEIS COZINHA CONJUNTO MESA
012127;CJ.04CAD.MD11 1078 P.ARDOSIA 80 QUAD.TC05 LJ;MOVEIS COZINHA MESA
018790;BARBEADOR HQ6927 16 3CAB.A BAT.WALITA;ELETRO BELEZA E SAUDE BARBEADOR ELETRICO
014760;ZTE R222 DB SILVER BLACK;CELULAR SMARTPHONE
A02207;LIMPEZA DO SISTEMA DE FREIO;ALMOXARIFADO
G00057;GE2 TV 3D LCD;SERVICOS GARANTIA
019023;COMODA LOISI CZ PT;MOVEIS QUARTO COMODA
018298;MESA VITORIA 1
S0001H;SERVICO DE PROTECAO SEM DESCULPAS53;SERVICOS SEGURO CELULAR
020040;APARADOR INOVARE EBANO;MOVEIS SALA DE JANTAR APARADOR
013399;ROUPEIRO APICE 06 PTS.2 PTS.C ESP TB BR;MOVEIS QUARTO GUARDA-ROUPA
013205;SECADOR COLORIDO SC 401 LILAS;ELETRO BELEZA E SAUDE SECADOR DE CABELO
022864;HOME SUSPENSO GRECO RUSTICO MALBEC;MOVEIS SALA DE ESTAR HOME
009289;MINI SYSTEM MAS 339  78;TECNOLOGIA AUDIO MINI SYSTEM
024414;MESA LATERAL SKINNY DEMOLICAO PATRIMAR;MOVEIS SALA DE ESTAR MESA CANTO
014496;GUARDA ROUPA 1140 6 TB BRANCO;MOVEIS QUARTO GUARDA-ROUPA
010896;MP4 TITAN 2GB;TECNOLOGIA AUDIO MP3
020334;TABLET UTECH 8GB PRATA;TECNOLOGIA INFORMATICA TABLET
018628;TABLET NB048 KIDS ROSA;TECNOLOGIA INFORMATICA TABLET
019468;SMARTPHONE SONY XPERIA M2 DB PRETO;CELULAR SMARTPHONE SMARTPHONE
005964;COND.AR CCI 07 DBBNA CF7
A01261;CHAVE SETA MB ACELO/SPRINTER;ALMOXARIFADO
009291;REFRIGERADOR KDN 48 P BR;ELETRO ELETRODOMESTICO LAVADORA
023954;ARM ACO LUCE IG3G2-105 BRANCO;MOVEIS COZINHA BALCAO
022123;PANELA DE ARROZ SUPERRICE-B2 BLACK E DECKER;ELETRO ELETROPORTATEIS PANELA ELETRICA
A01577;BUCHA DE REDUCAO SOLD CURTA 32X25MM;ALMOXARIFADO
021602;TABLET ICC STYLLUS 740P QC AND 4.4 WF7 8G ROS;TECNOLOGIA INFORMATICA TABLET
022394;LIQUIDIFICADOR WALITA RI2160 01 BRANCO 110V;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
016101;PERSONALITA ARM GELADEIRA BASC 207 BR GRAF;MOVEIS COZINHA COZINHA COMPACTA
023855;CONJ.ONIX 1
013815;CONJ.EST.SAMIRA 3X2 LUG.6003 C 6004;MOVEIS SALA DE ESTAR SOFA
012871;CAMA CASAL CANDIDA PD 1.40 CF BR PEROLA;MOVEIS QUARTO CAMA
003178;BICICLETA JURASSIC PAR     202;LAZER ESPORTE E FITNESS BICICLETA
009122;RECEIVER COM DVD SEMP XB 1550;TECNOLOGIA TV E VIDEO HOME THEATER
A01855;REBITE MACICO DE ALUMINIO 13X16MM;ALMOXARIFADO
006602;APARELHO CELULAR KIT ALO TORAL;CELULAR SMARTPHONE
013599;ROUPEIRO 6 PTS. E NEW GLASS TB MP;MOVEIS QUARTO GUARDA-ROUPA
016990;CAMA SOLTEIRO KELY CARV/PT/BR LX;MOVEIS QUARTO CAMA
008096;MAQUINA LAVAR MAX 6 PROG.2 M.LALS6M12S;ELETRO ELETRODOMESTICO LAVADORA
020167;COLC. D 23 REAL MASTER 1.88 X 1
021270;CONJ.DARQUE 1
010157;MESA JACAREI 1
A01321;RETENTOR COMANDO VW E POLIA VW FOX;ALMOXARIFADO
RHA00236;CALCA 202 MAS   GER CD   36;ALMOXARIFADO
015563;KIT LIANA 1
015991;MEU 411 BANCO ROSA DB;CELULAR SMARTPHONE
S0003P;SERVICO DE PROTECAO SEM DESCULPAS5C;SERVICOS SEGURO CELULAR
A01246;TRAVA  A 52 DIN 70952 BK OLEADA N070952052103;ALMOXARIFADO
016190;CAMA CASAL KELY AM PT AM LX;MOVEIS QUARTO CAMA
019993;LG L20 D100 PTO TIM;CELULAR SMARTPHONE SMARTPHONE
S0005S;SERVICO DE PROTECAO TOTAL 48;SERVICOS SEGURO CELULAR
024827;HOME DE PAREDE TORONTO BRANCO/MALTE 579;MOVEIS SALA DE ESTAR HOME
010666;NOKIA 5610 DB;CELULAR SMARTPHONE
012101;CJ.06CAD MD14 1114 MARMORE 1
017802;NOTEBOOK STI NA 1401 A7L AMD C70 2GB HD320 L;TECNOLOGIA INFORMATICA NOTEBOOK
A00751;CARRO SUPORTE P/ BATERIA;ALMOXARIFADO
015251;CAMA SOLTEIRO MONTELO GR GR PT;MOVEIS QUARTO CAMA
011660;MOTOROLA W 403 VIVO;CELULAR SMARTPHONE
022832;NOTEBOOK POSITIVO COLORS XC3552 DOURADO;TECNOLOGIA INFORMATICA NOTEBOOK
018563;DUROSPRING LEK P.UNO  88X188 BLACK;MOVEIS COLCHAO COLCHAO
011916;VENTILADOR WIND 40 CM MESA BR;ELETRO AR E VENTILACAO VENTILADOR
008068;BALCAO PRIMOR;MOVEIS COZINHA COZINHA COMPACTA
008307;MOTOROLA V172 TIM;CELULAR SMARTPHONE
011504;DVD 760 X CCE;TECNOLOGIA TV E VIDEO DVD
024051;COLCHAO PRO COLUNA FIT II 1
A00693;REL MINIPRINT 100;ALMOXARIFADO
018862;CAMA CASAL MONALISA TAB BR;MOVEIS COLCHAO CAMA BOX
013629;MOTOROLA Z300 CLARO;CELULAR SMARTPHONE
014951;ARM.BALCAO TRIPLO 3GV.TAMPO 608 82238 A AMER;MOVEIS COZINHA BALCAO
015625;FORNO MICRO ONDAS MN ST571 WRU;ELETRO ELETRODOMESTICO FORNO
022581;BOX 154 KING BEST 30CMX1
008900;TELEVISOR TV 1033;TECNOLOGIA TV E VIDEO TV
022007;SMARTPHONE LG K4 K130F OI INDIGO;CELULAR SMARTPHONE SMARTPHONE
